Company Name,Company Slug,Website,HQ Country,Sector,Stage,Status,Pipeline Status,Notes
A2P,a2p,https://www.agdevco.com/our-investments/a2p/,,,,active,pending_onboard,
Cashew Coast,cashew-coast,https://www.agdevco.com/our-investments/cashew-coast/,,,,active,pending_onboard,
DekelOil,dekeloil,https://www.agdevco.com/our-investments/dekeloil/,,,,active,pending_onboard,
East Africa Magical Farms,emf,https://www.agdevco.com/our-investments/emf/,,,,active,pending_onboard,
Hatch Africa,feav,https://www.agdevco.com/our-investments/feav/,,,,active,pending_onboard,
Tropo Farms,tropo,https://www.agdevco.com/our-investments/tropo/,,,,active,pending_onboard,
Agris,agris,https://www.agdevco.com/our-investments/agris/,,,,active,pending_onboard,
Agventure,agventure,https://www.agdevco.com/our-investments/agventure/,,,,active,pending_onboard,
Evergreen Avocado Limited,evergreen-avocado-limited,https://www.agdevco.com/our-investments/evergreen-avocado-limited/,,,,active,pending_onboard,
Sagana Nuts,sagana-nuts,https://www.agdevco.com/our-investments/sagana-nuts/,,,,active,pending_onboard,
Victory Group,victory-farms-limited,https://www.agdevco.com/our-investments/victory-farms-limited/,,,,active,pending_onboard,
Jacoma,jacoma-tropha,https://www.agdevco.com/our-investments/jacoma-tropha/,,,,active,pending_onboard,
Kasinthula,kasinthula,https://www.agdevco.com/our-investments/kasinthula/,,,,active,pending_onboard,
Dawson,dowson,https://www.agdevco.com/our-investments/dowson/,,,,active,pending_onboard,
ECA,eca,https://www.agdevco.com/our-investments/eca/,,,,active,pending_onboard,
Quinta da Bela Vista Limitada (QBV),quinta-da-bela-vista-limitada-qbv,https://www.agdevco.com/our-investments/quinta-da-bela-vista-limitada-qbv/,,,,active,pending_onboard,
Transurban,transurban,https://www.agdevco.com/our-investments/transurban/,,,,active,pending_onboard,
Westfalia Fruto,westfalia-fruto,https://www.agdevco.com/our-investments/westfalia-fruto/,,,,active,pending_onboard,
Planting Naturals,planting-naturals,https://www.agdevco.com/our-investments/planting-naturals/,,,,active,pending_onboard,
Agristar,agristar,https://www.agdevco.com/our-investments/agristar/,,,,active,pending_onboard,
Skutwater,skutwater,https://www.agdevco.com/our-investments/skutwater/,,,,active,pending_onboard,
Africado,africado,https://www.agdevco.com/our-investments/africado/,,,,active,pending_onboard,
EFAfrica Group,efafrica-group,https://www.agdevco.com/our-investments/efafrica-group/,,,,active,pending_onboard,
Pee Pee Tanzania Limited (PPTL),pee-pee-tanzania-limited-pptl,https://www.agdevco.com/our-investments/pee-pee-tanzania-limited-pptl/,,,,active,pending_onboard,
New Forests Company,new-forests-company,https://www.agdevco.com/our-investments/new-forests-company/,,,,active,pending_onboard,
Hybrid Poultry,hybrid-poultry,https://www.agdevco.com/our-investments/hybrid-poultry/,,,,active,pending_onboard,
Katito Farming Enterprises Ltd,katito-farming-enterprises-ltd,https://www.agdevco.com/our-investments/katito-farming-enterprises-ltd/,,,,active,pending_onboard,
Saise Farming Enterprises Ltd (SFEL),saise-farming-enterprises-ltd-sfel,https://www.agdevco.com/our-investments/saise-farming-enterprises-ltd-sfel/,,,,active,pending_onboard,
Organizacion de Desarrollo Empresarial Femenino (ODEF),organizacion-de-desarrollo-empresarial-femenino-odef,https://www.kiva.org/about/where-kiva-works/partners/201,Honduras,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CrediCampo,credicampo,https://www.kiva.org/about/where-kiva-works/partners/199,El Salvador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
IMON International,imon-international,https://www.kiva.org/about/where-kiva-works/partners/100,Tajikistan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
"CJSC ""HUMO BANK""",cjsc-humo-bank,https://www.kiva.org/about/where-kiva-works/partners/63,Tajikistan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Banco Da Familia,banco-da-familia,https://www.kiva.org/about/where-kiva-works/partners/705,Brazil,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Arnur Credit,arnur-credit,https://www.kiva.org/about/where-kiva-works/partners/698,Kazakhstan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Asian Credit Fund LLC,asian-credit-fund-llc,https://www.kiva.org/about/where-kiva-works/partners/670,Kazakhstan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Bailyk Finance Microcredit Company,bailyk-finance-microcredit-company,https://www.kiva.org/about/where-kiva-works/partners/661,Kyrgyzstan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
FINAMIGA UNI2,finamiga-uni2,https://www.kiva.org/about/where-kiva-works/partners/621,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
FUNDENUSE,fundenuse,https://www.kiva.org/about/where-kiva-works/partners/590,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Camfed Ghana,camfed-ghana,https://www.kiva.org/about/where-kiva-works/partners/458,Ghana,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
iDE Cambodia,ide-cambodia,https://www.kiva.org/about/where-kiva-works/partners/311,Cambodia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Kashf Foundation,kashf-foundation,https://www.kiva.org/about/where-kiva-works/partners/245,Pakistan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
UGAFODE Microfinance,ugafode-microfinance,https://www.kiva.org/about/where-kiva-works/partners/222,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
One Acre Fund,one-acre-fund,https://www.kiva.org/about/where-kiva-works/partners/202,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Ecuador,visionfund-ecuador,https://www.kiva.org/about/where-kiva-works/partners/188,Ecuador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
BRAC Liberia Microfinance Company Limited (BLMCL).,brac-liberia-microfinance-company-limited-blmcl,https://www.kiva.org/about/where-kiva-works/partners/182,Liberia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Credo,credo,https://www.kiva.org/about/where-kiva-works/partners/181,Georgia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
PADECOMSM,padecomsm,https://www.kiva.org/about/where-kiva-works/partners/167,El Salvador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Negros Women for Tomorrow Foundation (NWTF),negros-women-for-tomorrow-foundation-nwtf,https://www.kiva.org/about/where-kiva-works/partners/145,Philippines,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
"Community Economic Ventures, Inc. (CEVI)",community-economic-ventures-inc-cevi,https://www.kiva.org/about/where-kiva-works/partners/125,Philippines,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fundación Paraguaya,fundacion-paraguaya,https://www.kiva.org/about/where-kiva-works/partners/58,Paraguay,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Phillip Bank,phillip-bank,https://www.kiva.org/about/where-kiva-works/partners/9,Cambodia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
EBO SACCO,ebo-sacco,https://www.kiva.org/about/where-kiva-works/partners/685,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Camfed Malawi,camfed-malawi,https://www.kiva.org/about/where-kiva-works/partners/561,Malawi,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Microfund for Women,microfund-for-women,https://www.kiva.org/about/where-kiva-works/partners/550,Jordan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
South Pacific Business Development (SPBD) - Tonga,south-pacific-business-development-spbd-tonga,https://www.kiva.org/about/where-kiva-works/partners/549,Tonga,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
iDE Ghana,ide-ghana,https://www.kiva.org/about/where-kiva-works/partners/538,Ghana,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Camfed Zambia,camfed-zambia,https://www.kiva.org/about/where-kiva-works/partners/483,Zambia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Babban Gona Farmers Organization,babban-gona-farmers-organization,https://www.kiva.org/about/where-kiva-works/partners/288,Nigeria,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
National Microfinance Bank,national-microfinance-bank,https://www.kiva.org/about/where-kiva-works/partners/185,Jordan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
BRAC Sierra Leone,brac-sierra-leone,https://www.kiva.org/about/where-kiva-works/partners/183,Sierra Leone,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Bai Tushum Bank,bai-tushum-bank,https://www.kiva.org/about/where-kiva-works/partners/171,Kyrgyzstan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Juhudi Kilimo,juhudi-kilimo,https://www.kiva.org/about/where-kiva-works/partners/156,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
EDESA,edesa,https://www.kiva.org/about/where-kiva-works/partners/127,Costa Rica,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Thanh Hoa Microfinance Institution,thanh-hoa-microfinance-institution,https://www.kiva.org/about/where-kiva-works/partners/121,Vietnam,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Prisma Honduras,prisma-honduras,https://www.kiva.org/about/where-kiva-works/partners/118,Honduras,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Apoyo Integral,apoyo-integral,https://www.kiva.org/about/where-kiva-works/partners/81,El Salvador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
BRAC Uganda,brac-uganda,https://www.kiva.org/about/where-kiva-works/partners/65,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Friendship Bridge,friendship-bridge,https://www.kiva.org/about/where-kiva-works/partners/55,Guatemala,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Conserva,conserva,https://www.kiva.org/about/where-kiva-works/partners/655,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Mongolia,visionfund-mongolia,https://www.kiva.org/about/where-kiva-works/partners/654,Mongolia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
d.light design,d-light-design,https://www.kiva.org/about/where-kiva-works/partners/609,Namibia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
South Pacific Business Development (SPBD) - Fiji,south-pacific-business-development-spbd-fiji,https://www.kiva.org/about/where-kiva-works/partners/562,Fiji,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Cooperativa de Ahorro y Crédito Norandino,cooperativa-de-ahorro-y-credito-norandino,https://www.kiva.org/about/where-kiva-works/partners/484,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Benteng Mikro Indonesia (BMI),benteng-mikro-indonesia-bmi,https://www.kiva.org/about/where-kiva-works/partners/406,Indonesia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Inkomoko,inkomoko,https://www.kiva.org/about/where-kiva-works/partners/319,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
FUNDAPEC,fundapec,https://www.kiva.org/about/where-kiva-works/partners/298,Dominican Republic,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Kaebauk,kaebauk,https://www.kiva.org/about/where-kiva-works/partners/243,Timor-Leste,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Strathmore University,strathmore-university,https://www.kiva.org/about/where-kiva-works/partners/218,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
MiCredito,micredito,https://www.kiva.org/about/where-kiva-works/partners/176,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Urwego Bank,urwego-bank,https://www.kiva.org/about/where-kiva-works/partners/161,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fundación ESPOIR,fundacion-espoir,https://www.kiva.org/about/where-kiva-works/partners/137,Ecuador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Kenya,visionfund-kenya,https://www.kiva.org/about/where-kiva-works/partners/133,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Vision Fund Mexico,vision-fund-mexico,https://www.kiva.org/about/where-kiva-works/partners/130,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Asociación Arariwa,asociacion-arariwa,https://www.kiva.org/about/where-kiva-works/partners/119,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CAURIE Microfinance,caurie-microfinance,https://www.kiva.org/about/where-kiva-works/partners/105,Senegal,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Palestine for Credit & Development (FATEN),palestine-for-credit-development-faten,https://www.kiva.org/about/where-kiva-works/partners/80,Palestine,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Corporacion Interactuar,corporacion-interactuar,https://www.kiva.org/about/where-kiva-works/partners/701,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Fintra,fintra,https://www.kiva.org/about/where-kiva-works/partners/688,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
COOPHEL ASEI,coophel-asei,https://www.kiva.org/about/where-kiva-works/partners/652,El Salvador,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Avanza Sólido,avanza-solido,https://www.kiva.org/about/where-kiva-works/partners/650,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Pro Mujer Nicaragua,pro-mujer-nicaragua,https://www.kiva.org/about/where-kiva-works/partners/607,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Jibu,jibu,https://www.kiva.org/about/where-kiva-works/partners/493,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
iDE Mozambique,ide-mozambique,https://www.kiva.org/about/where-kiva-works/partners/468,Mozambique,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Assilassimé Solidarité,assilassime-solidarite,https://www.kiva.org/about/where-kiva-works/partners/296,Togo,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Interactuar,interactuar,https://www.kiva.org/about/where-kiva-works/partners/177,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Hekima,hekima,https://www.kiva.org/about/where-kiva-works/partners/160,Congo (DRC),,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CIDRE,cidre,https://www.kiva.org/about/where-kiva-works/partners/140,Bolivia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
CLECAM EJOHEZA Plc,clecam-ejoheza-plc,https://www.kiva.org/about/where-kiva-works/partners/682,Rwanda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
JSC Imkon Finans Microfinance organization,jsc-imkon-finans-microfinance-organization,https://www.kiva.org/about/where-kiva-works/partners/675,Uzbekistan,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Confiamos Colombia SAS,confiamos-colombia-sas,https://www.kiva.org/about/where-kiva-works/partners/667,Colombia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Procredito Mexico,procredito-mexico,https://www.kiva.org/about/where-kiva-works/partners/648,Mexico,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
COPEME Perú,copeme-peru,https://www.kiva.org/about/where-kiva-works/partners/644,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
FINCA Uganda,finca-uganda,https://www.kiva.org/about/where-kiva-works/partners/633,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Senegal,visionfund-senegal,https://www.kiva.org/about/where-kiva-works/partners/605,Senegal,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Apollo Agriculture,apollo-agriculture,https://www.kiva.org/about/where-kiva-works/partners/596,Kenya,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
VisionFund Uganda,visionfund-uganda,https://www.kiva.org/about/where-kiva-works/partners/588,Uganda,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Diaconía Asociacion para el Desarrollo de Paraguay (Diaconía ADP),diaconia-asociacion-para-el-desarrollo-de-paraguay-diaconia-adp,https://www.kiva.org/about/where-kiva-works/partners/567,Paraguay,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
"Small Enterprise Development Co., Ltd. (SED)",small-enterprise-development-co-ltd-sed,https://www.kiva.org/about/where-kiva-works/partners/564,Thailand,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Cooperativa de Ahorro y Crédito Microfinanzas Prisma (COOPAC MFP),cooperativa-de-ahorro-y-credito-microfinanzas-prisma-coopac-mfp,https://www.kiva.org/about/where-kiva-works/partners/554,Peru,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Aldea Global,aldea-global,https://www.kiva.org/about/where-kiva-works/partners/507,Nicaragua,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
Chamroeun Microfinance Plc,chamroeun-microfinance-plc,https://www.kiva.org/about/where-kiva-works/partners/499,Cambodia,,,active,pending_onboard,Kiva umbrella attribution; refine to KRIF subset in enrichment
